ID	Family	Group	Color	New	Check	Information	Function	File	Status	Severity	Comment	CWE ID	Key	Line	Col
3654	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_intc_deinitialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\intc\MPC5777C_intc.c	Unreviewed	Unset		CWE-561	C68D19448A0522F568D3224568	662	4
3565	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_intc_initialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\intc\MPC5777C_intc.c	Unreviewed	Unset		CWE-561	4D1C3888150A44EBD0A7448AC491	588	12
3569	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sbc_get_status()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sbc\MPC5777C_sbc.c	Unreviewed	Unset		CWE-561	CC183388150A44EBD0A7448AC4B1	303	16
3571	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sci_check_pins_channels()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sci\MPC5777C_sci.c	Unreviewed	Unset		CWE-561	0D183588150A44EBD0A7448AC491	405	12
3572	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sci_check_pins_channels()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sci\MPC5777C_sci.c	Unreviewed	Unset		CWE-561	0D193588150A44EBD0A7448AC491	425	12
3573	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sci_check_pins_channels()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sci\MPC5777C_sci.c	Unreviewed	Unset		CWE-561	0D1A3488150A44EBD0A7448AC491	444	12
3574	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sci_check_pins_channels()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sci\MPC5777C_sci.c	Unreviewed	Unset		CWE-561	0D1B3488150A44EBD0A7448AC491	464	12
3575	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sci_check_pins_channels()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sci\MPC5777C_sci.c	Unreviewed	Unset		CWE-561	0D1C3488150A44EBD0A7448AC491	484	12
3576	Defect	Data flow	Red	yes	Dead code	Impact: Low	MPC5777C_sci_check_pins_channels()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\sci\MPC5777C_sci.c	Unreviewed	Unset		CWE-561	4D183388150A44EBD0A7448AC491	503	12
3577	Defect	Data flow	Red	no	Dead code	Impact: Low	clock_initialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\clock\SERVICE_clock.c	Unreviewed	Unset		CWE-561	536611A241887D1AF488511C	53	8
3587	Defect	Data flow	Red	no	Dead code	Impact: Low	crc_sw_calculate()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\crc_sw\SERVICE_crc_sw.c	Unreviewed	Unset		CWE-561	278D22458211FA34E911A2316E	96	17
3588	Defect	Data flow	Red	no	Dead code	Impact: Low	crc_sw_calculate()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\crc_sw\SERVICE_crc_sw.c	Unreviewed	Unset		CWE-561	270C22458211FA34E911A23164	90	12
3659	Defect	Data flow	Red	no	Dead code	Impact: Low	flash_monitor_errors()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\flash\SERVICE_flash.c	Unreviewed	Unset		CWE-561	260E1C448A0522F568D3224570	188	8
3658	Defect	Data flow	Red	no	Dead code	Impact: Low	flash_erase()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\flash\SERVICE_flash.c	Unreviewed	Unset		CWE-561	260D9A448A0522F568D3224570	145	8
3660	Defect	Data flow	Red	no	Dead code	Impact: Low	flash_write()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\flash\SERVICE_flash.c	Unreviewed	Unset		CWE-561	260C98448A0522F568D3224570	101	8
3590	Defect	Data flow	Red	no	Dead code	Impact: Low	flash_initialize()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\flash\SERVICE_flash.c	Unreviewed	Unset		CWE-561	434611A241887D1AF488511C	42	8
3591	Defect	Data flow	Red	no	Dead code	Impact: Low	memcpy()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\util\standard\SERVICE_standard.c	Unreviewed	Unset		CWE-561	436611A241887D1AF488511A	43	4
3592	Defect	Data flow	Red	no	Dead code	Impact: Low	memset()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\01_services\util\standard\SERVICE_standard.c	Unreviewed	Unset		CWE-561	938611A241887D1AF488511A	94	4
130	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\common\MPC5777C_REGISTER_DMA.h	Unreviewed	Unset		CWE-547	13660C1A48824922F568D32245887D1255C891A252BE4D4AA5A84C1C	1304	18
658	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\common\MPC5777C_REGISTER_FCCU.h	Unreviewed	Unset		CWE-547	A1338612A052887D1AF48851225F84553264A894AF5392692A2327	434	29
665	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\common\MPC5777C_REGISTER_FCCU.h	Unreviewed	Unset		CWE-547	A1330712A052887D1AF48851225F84553264A894AF5392692A2366	438	23
2386	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\common\MPC5777C_REGISTER_INTC.h	Unreviewed	Unset		CWE-547	8923E612A052887D1AF48851225F84553264A894AF5392692A23E6	127	27
2377	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\common\MPC5777C_REGISTER_INTC.h	Unreviewed	Unset		CWE-547	89232712A052887D1AF48851225F84553264A894AF5392692A3326	129	31
2402	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\common\MPC5777C_REGISTER_INTC.h	Unreviewed	Unset		CWE-547	8933E612A052887D1AF48851225F84553264A894AF5392692A1327	137	19
2490	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\common\MPC5777C_REGISTER_INTC.h	Unreviewed	Unset		CWE-547	89332612A052887D1AF48851225F84553264A894AF5392692A2327	131	29
2550	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	MPC5777C_flexcan_set_channel_speed()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\can\flexcan\MPC5777C_flexcan.c	Unreviewed	Unset		CWE-547	C1434612A052887D1AF48851225F84553264A894AF5392692A23C6	842	26
2553	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	MPC5777C_flexcan_set_channel_speed()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\can\flexcan\MPC5777C_flexcan.c	Unreviewed	Unset		CWE-547	C1434612A052887D1AF48851225F84553264A894AF5392692A2327	842	29
2656	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	File Scope	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\common\MPC5777C_REGISTER_MCAN.h	Unreviewed	Unset		CWE-547	13264C9848824922F568D32245887D1255C891A252BE4D4AA5A88C98	1111	21
2612	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	MPC5777C_mcan_set_brs_speed()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\can\mcan\MPC5777C_mcan.c	Unreviewed	Unset		CWE-547	13E60C9848824922F568D32245887D1255C891A252BE4D4AA5A88C1C	1701	28
2707	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	MPC5777C_mcan_set_channel_speed()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\can\mcan\MPC5777C_mcan.c	Unreviewed	Unset		CWE-547	B9732612A052887D1AF48851225F84553264A894AF5392692A23A6	771	25
2657	Defect	Good practice	Red	yes	Hard-coded buffer size	Impact: Low	MPC5777C_mcan_set_channel_speed()	D:\Jenkins\workspace\Software\SW06_Platform\01_basic_sw_03_Polyspace_BugFinder\04_Coding\01_basic_sw\02_mcal\MPC5777C\can\mcan\MPC5777C_mcan.c	Unreviewed	Unset		CWE-547	B9732612A052887D1AF48851225F84553264A894AF5392692A2307	771	28
